Memory_benchmark,GPU_benchmark,benchmark
4.99,4.2,3651
58.98,7.7,88338
69.98,4.4,5942
22.99,3.9,5940
22.99,3.9,3651
49.99,4.2,3414
58.98,2.8,3027
58.98,3.8,2275
22.99,3.9,3414
18.99,4.5,88338
39.99,3.5,3027
49.99,4.5,2984
18.99,3.7,88338
22.99,3.5,2639
18.99,4.5,88338
22.99,3.9,3414
49.99,4.1,3414
39.99,3.5,3027
79.98,3.5,3027
22.99,3.9,2715
39.99,1.1,1190
39.99,3.5,2275
22.99,3.9,3414
4.99,4.2,3651
58.98,3.1,3414
22.99,3.9,3414
58.98,3.8,3414
58.98,3.8,3414
22.99,3.5,3276
22.99,3.5,3276
22.99,3.5,3276
22.99,3.9,2715
22.99,3.9,2984
58.98,2.9,88338
22.99,3.9,3651
4.99,4.2,3414
69.98,5.3,3276
22.99,3.9,2715
4.99,4.2,2275
22.99,3.9,3414
10,3.7,5942
22.99,3.9,3414
22.99,3.9,2715
18.99,3.7,3414
4.99,4.2,3414
39.99,1.5,40872
39.99,2.8,40872
89.98,6.5,5942
18.99,3.7,3414
22.99,3.9,5940
69.98,3.6,3414
22.99,3.3,2583
39.99,3.5,3027
58.98,3.1,3651
58.98,3.1,3414
22.99,3.9,3414
58.98,2.8,3027
22.99,3.9,2984
22.99,3.9,2984
22.99,3.9,3414
58.98,3.1,3414
22.99,3.9,3651
4.99,4.2,2275
18.99,4.5,88338
22.99,3.9,3414
4.99,4.2,2715
22.99,3.9,3414
58.98,3.8,3414
22.99,3.9,3414
69.98,5.3,3414
49.99,4.2,3414
39.99,3.5,2275
22.99,3.9,2715
22.99,3.9,3414
58.98,3.1,3414
39.99,3.5,2275
39.99,2.1,40872
58.98,7.7,88338
49.99,6.4,4689
22.99,3.9,3651
22.99,3.9,3414
22.99,3.9,3414
69.98,5.3,2275
69.98,3.6,2715
58.98,3.1,88338
22.99,3.9,3414
22.99,3.9,3414
49.99,4.5,2984
58.98,3.6,88338
69.98,5.3,2639
18.99,4.5,88338
58.98,3.1,3414
39.99,3.5,2275
22.99,3.9,3414
69.98,5.3,2275
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
39.99,3.5,2275
22.99,3.9,3414
39.99,1.5,40872
58.98,3.6,88338
58.98,3.6,88338
58.98,3.6,88338
18.99,4.5,88338
22.99,3.9,3414
22.99,3.9,3414
22.99,3.9,3414
4.99,4.2,3414
22.99,3.9,2715
39.99,1.1,1190
22.99,3.9,2715
58.98,3.1,2275
39.99,3.5,2275
4.99,4.2,2275
22.99,3.5,3027
22.99,3.9,3414
22.99,3.9,3414
58.98,3.1,2275
39.99,3.5,2275
39.99,3.5,3027
69.98,5.3,40872
49.99,4.5,2984
18.99,4.5,88338
39.99,3.5,2275
22.99,3.5,3027
49.99,4.2,3414
22.99,3.5,3414
69.98,4.4,5942
58.98,2.3,88338
18.99,2.2,88338
22.99,3.9,3414
69.98,3.6,3414
22.99,3.9,2715
22.99,3.9,2715
39.99,1.6,40872
18.99,3.7,88338
58.98,3.1,88338
39.99,3.6,40872
22.99,3.9,3414
69.98,5.3,3414
22.99,3.9,2715
49.99,4.2,2715
18.99,3.7,2275
58.98,3.6,2275
39.99,3.5,2275
69.98,5.3,2275
58.98,3.1,2275
22.99,3.9,3414
39.99,3.5,2639
39.99,1.5,40872
39.99,3.5,3027
22.99,3.5,2275
22.99,3.9,3414
39.99,3.5,2275
18.99,3.7,88338
58.98,2.3,88338
22.99,3.9,2715
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
22.99,3.9,3414
39.99,1.6,40872
22.99,3.9,3414
58.98,3.1,2275
22.99,3.5,2639
39.99,1.6,40872
22.99,3.9,2715
58.98,3.1,2275
39.99,1.1,1190
18.99,3.7,88338
22.99,3.5,2275
22.99,3.5,3027
39.99,1.1,40872
69.98,5.3,40872
22.99,3.9,2715
18.99,2.3,88338
18.99,3.7,2275
39.99,3.5,2275
39.99,3.5,2275
49.99,4.2,2275
22.99,3.9,3414
69.98,5.3,2275
22.99,3.9,3414
69.98,5.3,40872
58.98,3.1,2275
39.99,3.5,3027
39.99,3.6,40872
22.99,3.9,2715
22.99,3.9,2715
22.99,3.9,2715
22.99,3.9,2715
39.99,3.5,2639
22.99,3.5,2275
69.98,5.3,2275
18.99,2.3,88338
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
39.99,1.5,40872
39.99,2.1,40872
58.98,3.1,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
18.99,2.2,88338
39.99,3.5,2275
39.99,3.5,2275
22.99,3.9,3414
18.99,4.5,88338
22.99,3.9,2715
39.99,3.5,2275
39.99,3.5,2275
39.99,1.1,40872
22.99,3.9,2715
58.98,3.5,88338
22.99,3.5,2275
58.98,3.1,2275
18.99,2.3,88338
39.99,1.5,40872
39.99,1.5,40872
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
39.99,3.5,2275
58.98,2.3,88338
39.99,3.5,2275
39.99,3.5,2275
18.99,2.3,88338
18.99,4.5,88338
18.99,2.2,88338
39.99,1.5,40872
39.99,1.6,40872
39.99,2.1,40872
22.99,3.9,2715
18.99,2.2,88338
18.99,2.2,88338
22.99,3.5,3027
39.99,3.5,2275
18.99,2.3,88338
22.99,3.9,3414
39.99,3.5,2275
39.99,1.1,40872
39.99,1.6,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,3.5,2275
22.99,3.9,2275
58.98,2.3,88338
39.99,1.1,40872
22.99,3.9,2715
39.99,2.1,40872
18.99,2,88338
39.99,1.1,40872
39.99,1.5,40872
39.99,3.6,40872
18.99,2.2,88338
39.99,1.5,40872
39.99,3.5,2275
58.98,3.1,2275
22.99,3.9,2984
39.99,3.5,2275
39.99,2.1,40872
22.99,3.5,2275
39.99,2.1,40872
39.99,3.5,2275
39.99,1.1,40872
18.99,1.5,88338
18.99,1.5,88338
18.99,1.5,88338
39.99,1.1,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,2.1,40872
39.99,3.5,2275
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
22.99,3.5,2275
39.99,3.5,2275
39.99,1.5,40872
39.99,2.1,40872
39.99,1.5,40872
39.99,1.5,40872
22.99,3.5,2275
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.6,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,1190
39.99,3.6,40872
18.99,2.2,88338
39.99,1.6,40872
39.99,2.1,40872
39.99,1.1,664
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
18.99,2.2,88338
39.99,1.5,40872
39.99,2.1,40872
18.99,1.5,88338
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,31500
39.99,1.5,40872
39.99,1.1,40872
18.99,1.5,88338
39.99,1.5,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.5,40872
39.99,1.1,40872
39.99,1.5,40872
39.99,1.1,907
39.99,1.1,40872
39.99,1.1,40872
39.99,1.1,40872
39.99,1.5,40872
18.99,1.5,88338
39.99,1.1,907
39.99,1.1,907
